City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
291,hami,42.8,93.45,25.54,64,61,1.81,CN,1637705419
292,ginir,7.1333,40.7,55.74,54,27,5.08,ET,1637705419
293,aklavik,68.2191,-135.0107,-15.84,98,100,5.91,CA,1637705131
294,ventspils,57.3894,21.5606,40.93,81,0,11.5,LV,1637705355
295,pevek,69.7008,170.3133,-21.1,99,47,2.91,RU,1637705420
296,hampton,37.0299,-76.3452,44.02,46,20,9.22,US,1637705420
297,lac du bonnet,50.2536,-96.0612,28.89,97,96,2.28,CA,1637705420
298,dickinson,29.4608,-95.0513,70.21,64,1,5.99,US,1637705421
299,irara,-12.05,-38.7667,74.34,87,73,9.71,BR,1637705421
300,ambulu,-8.345,113.6058,75.02,94,99,2.89,ID,1637705421
301,salinopolis,-0.6136,-47.3561,81.39,78,95,10.83,BR,1637705421
302,veraval,20.9,70.3667,78.33,59,93,8.03,IN,1637705422
303,torbay,47.6666,-52.7314,42.58,94,90,31.07,CA,1637705422
304,baft,29.234,56.6057,49.19,60,11,4.9,IR,1637705422
305,santa fe,-31.6333,-60.7,87.75,21,63,4.0,AR,1637705279
306,otjiwarongo,-20.4637,16.6477,65.64,22,0,8.5,NA,1637705423
307,rafaela,-31.2503,-61.4867,89.06,18,32,3.0,AR,1637705423
308,juegang,32.3174,121.1855,39.81,47,0,8.19,CN,1637705423
309,mujiayingzi,42.1167,118.7833,20.25,60,3,6.73,CN,1637705423
310,severo-kurilsk,50.6789,156.125,37.49,98,100,30.6,RU,1637705424
311,sinnamary,5.3833,-52.95,79.3,86,100,8.72,GF,1637705424
312,jumla,29.2747,82.1838,39.58,28,0,4.65,NP,1637705424
313,libas,9.8833,125.9833,78.58,90,100,6.87,PH,1637705425
314,vallenar,-28.5708,-70.7581,74.77,33,66,7.87,CL,1637705425
315,san jeronimo,-11.9472,-75.2829,58.23,68,100,6.08,PE,1637705425
316,cabedelo,-6.9811,-34.8339,81.27,77,94,13.44,BR,1637705425
317,bandarbeyla,9.4942,50.8122,80.06,56,97,11.25,SO,1637705140
318,san jose,37.3394,-121.895,67.87,52,75,1.99,US,1637705257
319,chumikan,54.7183,135.315,23.61,75,100,25.39,RU,1637705426
320,faanui,-16.4833,-151.75,80.74,71,42,4.29,PF,1637705426
321,morozovsk,48.3539,41.8261,32.09,93,100,7.78,RU,1637705426
322,hambantota,6.1241,81.1185,77.63,86,100,5.73,LK,1637705427
323,kargopol,61.5071,38.9456,14.92,99,96,3.85,RU,1637705427
324,szczecinek,53.7079,16.6994,41.79,84,100,9.37,PL,1637705427
325,kaset sombun,16.2805,101.9542,65.35,79,11,4.18,TH,1637705427
326,beloha,-25.1667,45.05,70.29,86,52,8.68,MG,1637705428
327,cairns,-16.9167,145.7667,84.11,77,64,1.14,AU,1637705428
328,sitka,57.0531,-135.33,35.49,87,90,9.22,US,1637705428
329,san quintin,30.4833,-115.95,69.15,57,3,10.94,MX,1637705429
330,ferme-neuve,46.7001,-75.4493,26.06,60,90,5.88,CA,1637705429
331,redencao,-4.2258,-38.7306,81.59,79,39,5.93,BR,1637705429
332,coahuayana,18.7333,-103.6833,89.08,62,5,5.91,MX,1637705429
333,umea,63.8284,20.2597,35.53,93,0,8.05,SE,1637705430
334,todos santos,23.45,-110.2167,84.11,73,35,9.04,MX,1637705430
335,komsomolskiy,40.4272,71.7189,38.62,38,100,1.12,UZ,1637705430
336,benjamin hill,30.1667,-111.1,74.17,40,99,9.75,MX,1637705430
337,safaga,26.7292,33.9365,69.89,49,10,12.59,EG,1637705431
338,asahikawa,43.7678,142.3703,33.01,55,40,12.66,JP,1637705431
339,gimli,50.6336,-96.9907,34.43,93,86,5.37,CA,1637705431
340,hovd,48.0056,91.6419,25.45,54,76,8.05,MN,1637705215
341,marystown,47.1666,-55.1483,46.85,100,100,7.0,CA,1637705432
342,laguna,38.421,-121.4238,66.29,71,1,5.01,US,1637705432
343,faqirwali,29.4663,73.034,65.93,14,0,6.13,PK,1637705432
344,rognan,67.0953,15.3878,37.54,94,98,3.06,NO,1637705432
345,nuevo progreso,23.1667,-97.95,79.59,67,77,5.01,MX,1637705433
346,vila franca do campo,37.7167,-25.4333,66.2,88,99,14.94,PT,1637705433
347,margate,51.3813,1.3862,40.69,76,0,5.99,GB,1637705433
348,panaba,21.2833,-88.2667,76.8,63,66,12.66,MX,1637705433
349,quatre cocos,-20.2078,57.7625,71.71,76,46,8.79,MU,1637705434
350,havre-saint-pierre,50.2334,-63.5986,34.16,93,90,11.5,CA,1637705434
351,bubaque,11.2833,-15.8333,83.03,77,25,12.8,GW,1637705434
352,sao filipe,14.8961,-24.4956,79.57,71,98,3.74,CV,1637705435
353,wuwei,37.9281,102.6414,31.12,21,0,3.51,CN,1637705435
354,gayny,60.3071,54.3241,17.94,96,100,5.37,RU,1637705435
355,montepuez,-13.1256,38.9997,72.93,66,7,6.35,MZ,1637705435
356,isangel,-19.55,169.2667,80.06,76,100,10.31,VU,1637705436
357,murray bridge,-35.1167,139.2667,70.68,92,100,5.75,AU,1637705436
358,albert lea,43.648,-93.3683,53.69,37,1,20.71,US,1637705436
359,geraldton,-28.7667,114.6,54.01,87,0,8.05,AU,1637705436
360,smithers,54.7804,-127.1743,32.2,84,92,1.63,CA,1637705139
361,emerald,-23.5333,148.1667,77.14,78,90,9.22,AU,1637705437
362,eyl,7.9803,49.8164,78.37,74,45,4.99,SO,1637705437
